employee_number,attrition_probability,risk_tier
426,0.0133,Low
428,0.0789,Low
429,0.0082,Low
430,0.0572,Low
431,0.0528,Low
433,0.9013,High
434,0.4612,High
436,0.2708,Medium
437,0.2509,Medium
438,0.0244,Low
439,0.0477,Low
440,0.9692,High
441,0.0059,Low
442,0.1133,Low
444,0.0346,Low
445,0.8955,High
446,0.1905,Low
447,0.0068,Low
448,0.1095,Low
449,0.0247,Low
450,0.032,Low
451,0.2023,Low
452,0.0059,Low
453,0.0759,Low
454,0.9729,High
455,0.0359,Low
456,0.0171,Low
458,0.0891,Low
460,0.0105,Low
461,0.008,Low
462,0.061,Low
463,0.0726,Low
464,0.0042,Low
465,0.0039,Low
466,0.1503,Low
467,0.1378,Low
468,0.0189,Low
469,0.0177,Low
470,0.0848,Low
471,0.03,Low
473,0.0653,Low
474,0.0478,Low
475,0.2173,Low
476,0.0229,Low
477,0.0201,Low
478,0.9737,High
479,0.0211,Low
481,0.0575,Low
482,0.0026,Low
483,0.0485,Low
484,0.0822,Low
485,0.9613,High
486,0.0581,Low
487,0.0154,Low
488,0.8949,High
491,0.0133,Low
492,0.9206,High
493,0.0953,Low
494,0.9542,High
495,0.0521,Low
496,0.1178,Low
497,0.073,Low
498,0.0618,Low
499,0.0127,Low
500,0.0257,Low
501,0.0073,Low
502,0.95,High
505,0.0155,Low
507,0.0431,Low
508,0.1188,Low
510,0.1342,Low
511,0.0689,Low
513,0.0353,Low
514,0.9807,High
515,0.022,Low
516,0.0472,Low
517,0.0058,Low
518,0.2107,Low
520,0.0073,Low
521,0.0174,Low
522,0.0155,Low
523,0.0256,Low
524,0.0786,Low
525,0.0432,Low
526,0.0054,Low
527,0.1817,Low
529,0.007,Low
530,0.0391,Low
531,0.0088,Low
532,0.0665,Low
533,0.0223,Low
534,0.0246,Low
536,0.0265,Low
538,0.8544,High
543,0.0805,Low
544,0.0106,Low
546,0.0074,Low
547,0.1084,Low
548,0.025,Low
549,0.1588,Low
550,0.0043,Low
551,0.0103,Low
554,0.9398,High
555,0.9621,High
556,0.1338,Low
558,0.0009,Low
560,0.0166,Low
562,0.0373,Low
564,0.0157,Low
565,0.8751,High
566,0.9137,High
567,0.0271,Low
568,0.0849,Low
569,0.0073,Low
571,0.0112,Low
573,0.0707,Low
574,0.0261,Low
575,0.0407,Low
577,0.0786,Low
578,0.1089,Low
579,0.0035,Low
580,0.0156,Low
581,0.0151,Low
582,0.9344,High
584,0.9177,High
585,0.0858,Low
586,0.0858,Low
587,0.9709,High
590,0.9369,High
591,0.1747,Low
592,0.1304,Low
593,0.4402,Medium
595,0.037,Low
597,0.1056,Low
599,0.0269,Low
600,0.0286,Low
601,0.0102,Low
602,0.1724,Low
604,0.1966,Low
605,0.1008,Low
606,0.0348,Low
608,0.9735,High
611,0.0719,Low
612,0.0028,Low
613,0.0656,Low
614,0.9884,High
615,0.0585,Low
616,0.1148,Low
618,0.3517,Medium
620,0.0374,Low
621,0.0701,Low
622,0.9963,High
623,0.0106,Low
624,0.0773,Low
625,0.017,Low
626,0.0254,Low
630,0.0056,Low
631,0.8687,High
632,0.1186,Low
634,0.0095,Low
635,0.0158,Low
638,0.0034,Low
639,0.0602,Low
641,0.0978,Low
643,0.72,High
644,0.0385,Low
645,0.2015,Low
647,0.6354,High
648,0.9674,High
649,0.0165,Low
650,0.8983,High
652,0.1975,Low
653,0.047,Low
655,0.0104,Low
656,0.1558,Low
657,0.0491,Low
659,0.003,Low
661,0.0109,Low
662,0.0972,Low
663,0.0201,Low
664,0.014,Low
665,0.0323,Low
666,0.0884,Low
667,0.783,High
669,0.1334,Low
671,0.0174,Low
675,0.0139,Low
677,0.0287,Low
679,0.0318,Low
680,0.1183,Low
682,0.149,Low
683,0.0014,Low
684,0.9102,High
686,0.2401,Low
689,0.0506,Low
690,0.0509,Low
691,0.0151,Low
692,0.0202,Low
698,0.0776,Low
699,0.0873,Low
700,0.0273,Low
701,0.92,High
702,0.8869,High
704,0.1352,Low
705,0.1066,Low
707,0.0089,Low
709,0.0155,Low
710,0.0219,Low
712,0.0632,Low
714,0.0122,Low
715,0.1395,Low
716,0.0412,Low
717,0.0558,Low
720,0.6294,High
721,0.05,Low
722,0.0664,Low
723,0.8816,High
724,0.0012,Low
725,0.0107,Low
727,0.0168,Low
728,0.1086,Low
729,0.1037,Low
730,0.0023,Low
731,0.0164,Low
732,0.2386,Low
733,0.1173,Low
734,0.0037,Low
738,0.1413,Low
741,0.9839,High
742,0.0249,Low
743,0.0343,Low
744,0.3983,Medium
746,0.1682,Low
747,0.0618,Low
749,0.2122,Low
752,0.2468,Low
754,0.0543,Low
757,0.0058,Low
758,0.2125,Low
760,0.0763,Low
762,0.0398,Low
763,0.0319,Low
764,0.5094,High
766,0.1526,Low
769,0.0229,Low
771,0.0151,Low
772,0.154,Low
773,0.2144,Low
775,0.0322,Low
776,0.0656,Low
780,0.0375,Low
781,0.1163,Low
783,0.1143,Low
784,0.0793,Low
785,0.9149,High
786,0.0516,Low
787,0.8056,High
789,0.0969,Low
791,0.0046,Low
792,0.1857,Low
793,0.1301,Low
796,0.9157,High
797,0.0013,Low
799,0.0698,Low
800,0.0468,Low
802,0.0224,Low
803,0.2031,Low
804,0.0199,Low
805,0.0243,Low
806,0.0337,Low
807,0.0339,Low
808,0.0481,Low
809,0.021,Low
811,0.9734,High
812,0.2124,Low
813,0.0201,Low
815,0.0186,Low
816,0.9761,High
817,0.049,Low
819,0.9326,High
820,0.0081,Low
823,0.0283,Low
824,0.0109,Low
825,0.879,High
826,0.0081,Low
827,0.0063,Low
828,0.823,High
829,0.0782,Low
830,0.0031,Low
832,0.4706,High
833,0.669,High
834,0.0387,Low
836,0.0165,Low
837,0.1574,Low
838,0.0397,Low
840,0.9263,High
842,0.9091,High
843,0.0076,Low
844,0.035,Low
845,0.022,Low
846,0.3339,Medium
847,0.0071,Low
848,0.9587,High
850,0.0363,Low
851,0.0192,Low
852,0.0774,Low
854,0.3495,Medium
855,0.0619,Low
856,0.0665,Low
857,0.0286,Low
859,0.0148,Low
861,0.0204,Low
862,0.197,Low
864,0.0729,Low
865,0.016,Low
867,0.0074,Low
868,0.1999,Low
869,0.0135,Low
872,0.0724,Low
874,0.0531,Low
875,0.0764,Low
878,0.0995,Low
879,0.1046,Low
880,0.0305,Low
881,0.5496,High
882,0.003,Low
885,0.3319,Medium
887,0.0116,Low
888,0.009,Low
889,0.0304,Low
893,0.0134,Low
894,0.0075,Low
895,0.1211,Low
896,0.47,High
897,0.1023,Low
899,0.1479,Low
900,0.0431,Low
901,0.0149,Low
902,0.0071,Low
903,0.1091,Low
904,0.1907,Low
905,0.0169,Low
909,0.0115,Low
910,0.4927,High
911,0.9839,High
912,0.2254,Low
913,0.2088,Low
916,0.048,Low
918,0.963,High
920,0.1105,Low
922,0.8949,High
923,0.3111,Medium
924,0.018,Low
925,0.1986,Low
926,0.8021,High
927,0.9433,High
930,0.0893,Low
932,0.9712,High
933,0.1481,Low
934,0.4995,High
936,0.0953,Low
939,0.1009,Low
940,0.0185,Low
941,0.1403,Low
942,0.0397,Low
944,0.0471,Low
945,0.0915,Low
947,0.0227,Low
949,0.0065,Low
950,0.0015,Low
951,0.0176,Low
952,0.9826,High
954,0.4901,High
956,0.1418,Low
957,0.0799,Low
958,0.0297,Low
959,0.9934,High
960,0.9331,High
961,0.0355,Low
964,0.02,Low
966,0.0128,Low
967,0.8633,High
969,0.0068,Low
970,0.9527,High
972,0.0134,Low
974,0.3457,Medium
975,0.0814,Low
976,0.0029,Low
977,0.1124,Low
981,0.0428,Low
982,0.1119,Low
983,0.0794,Low
984,0.0385,Low
985,0.0204,Low
986,0.9434,High
987,0.0317,Low
990,0.017,Low
991,0.8075,High
992,0.0308,Low
994,0.9727,High
995,0.0327,Low
996,0.0046,Low
997,0.0005,Low
998,0.1192,Low
999,0.0076,Low
1001,0.1778,Low
1002,0.0817,Low
1003,0.0624,Low
1004,0.983,High
1005,0.0058,Low
1006,0.0194,Low
1007,0.03,Low
1009,0.0248,Low
1010,0.8933,High
1011,0.066,Low
1012,0.0639,Low
1013,0.0232,Low
1014,0.0484,Low
1015,0.0234,Low
1016,0.9815,High
1017,0.1831,Low
1018,0.0142,Low
1019,0.1019,Low
1022,0.042,Low
1024,0.0105,Low
1025,0.0258,Low
1026,0.0063,Low
1027,0.0071,Low
1028,0.075,Low
1029,0.0331,Low
1030,0.5481,High
1032,0.1309,Low
1033,0.928,High
1034,0.0363,Low
1035,0.0158,Low
1036,0.584,High
1037,0.9524,High
1038,0.9534,High
1039,0.0424,Low
1040,0.0016,Low
1042,0.8365,High
1043,0.049,Low
1044,0.01,Low
1045,0.0021,Low
1046,0.1362,Low
1047,0.0037,Low
1048,0.0562,Low
1049,0.1816,Low
1050,0.0428,Low
1052,0.868,High
1053,0.959,High
1055,0.2154,Low
1056,0.796,High
1060,0.0349,Low
1061,0.0215,Low
1062,0.0725,Low
1066,0.1056,Low
1068,0.0275,Low
1069,0.0035,Low
1070,0.3049,Medium
1071,0.0227,Low
1073,0.0606,Low
1074,0.0724,Low
1076,0.0722,Low
1077,0.9712,High
1079,0.9818,High
1080,0.0107,Low
1081,0.1443,Low
1082,0.0607,Low
1083,0.0581,Low
1084,0.0289,Low
1085,0.0053,Low
1088,0.0059,Low
1092,0.0224,Low
1094,0.0264,Low
1096,0.0166,Low
1097,0.0453,Low
1098,0.0048,Low
1099,0.0085,Low
1100,0.9477,High
1101,0.9252,High
1102,0.1303,Low
1103,0.0245,Low
1105,0.0959,Low
1106,0.9027,High
1107,0.9545,High
1108,0.9853,High
1109,0.0107,Low
1111,0.9614,High
1113,0.1146,Low
1114,0.019,Low
1115,0.0039,Low
1116,0.0034,Low
1117,0.0039,Low
1118,0.135,Low
1119,0.0567,Low
1120,0.0354,Low
1121,0.0138,Low
1124,0.0578,Low
1125,0.2175,Low
1126,0.0309,Low
1127,0.9111,High
1128,0.0219,Low
1131,0.2719,Medium
1132,0.0888,Low
1133,0.0187,Low
1135,0.1495,Low
1136,0.1767,Low
1137,0.0414,Low
1138,0.1405,Low
1140,0.0394,Low
1143,0.0278,Low
1148,0.0849,Low
1150,0.0841,Low
1152,0.0205,Low
1154,0.1861,Low
1156,0.9189,High
1157,0.6424,High
1158,0.0497,Low
1160,0.8471,High
1161,0.0524,Low
1162,0.0075,Low
1163,0.0829,Low
1164,0.1003,Low
1165,0.9022,High
1166,0.0079,Low
1167,0.9189,High
1171,0.0714,Low
1172,0.0434,Low
1173,0.3414,Medium
1175,0.9602,High
1177,0.0374,Low
1179,0.0615,Low
1180,0.0412,Low
1182,0.0342,Low
1184,0.0163,Low
1185,0.072,Low
1188,0.9601,High
1190,0.0824,Low
1191,0.0385,Low
1192,0.0414,Low
1193,0.3351,Medium
1195,0.0118,Low
1196,0.0026,Low
1198,0.5501,High
1200,0.0323,Low
1201,0.0053,Low
1202,0.0803,Low
1203,0.093,Low
1204,0.0486,Low
1206,0.0432,Low
1207,0.0159,Low
1210,0.3527,Medium
1211,0.1326,Low
1212,0.0395,Low
1215,0.0041,Low
1216,0.0752,Low
1217,0.0296,Low
1218,0.0968,Low
1219,0.9563,High
1220,0.0798,Low
1221,0.039,Low
1224,0.3825,Medium
1225,0.0471,Low
1226,0.3008,Medium
1228,0.0188,Low
1231,0.0042,Low
1233,0.1082,Low
1234,0.1705,Low
1235,0.0214,Low
1237,0.0193,Low
1238,0.009,Low
1239,0.0864,Low
1240,0.0306,Low
1241,0.012,Low
1242,0.1189,Low
1243,0.0453,Low
1244,0.1959,Low
1245,0.0213,Low
1246,0.0027,Low
1248,0.9884,High
1249,0.019,Low
1250,0.0043,Low
1251,0.1312,Low
1252,0.035,Low
1254,0.2518,Medium
1255,0.0019,Low
1256,0.0123,Low
1257,0.0521,Low
1258,0.2794,Medium
1259,0.0116,Low
1260,0.0296,Low
1263,0.0027,Low
1264,0.0007,Low
1265,0.0426,Low
1267,0.02,Low
1268,0.0093,Low
1269,0.4492,Medium
1270,0.0475,Low
1273,0.996,High
1275,0.1278,Low
1277,0.9382,High
1278,0.0079,Low
1279,0.9614,High
1280,0.0137,Low
1281,0.0507,Low
1282,0.0226,Low
1283,0.0686,Low
1285,0.0511,Low
1286,0.2915,Medium
1288,0.0012,Low
1289,0.0505,Low
1291,0.0113,Low
1292,0.1485,Low
1293,0.0579,Low
1294,0.0766,Low
1295,0.0134,Low
1296,0.505,High
1297,0.1674,Low
1298,0.1202,Low
1299,0.9264,High
1301,0.0872,Low
1303,0.2407,Low
1304,0.0272,Low
1306,0.0286,Low
1307,0.0385,Low
1308,0.0139,Low
1309,0.7677,High
1310,0.8887,High
1311,0.0377,Low
1312,0.032,Low
1314,0.0662,Low
1315,0.022,Low
1317,0.0849,Low
1318,0.8535,High
1319,0.9652,High
1321,0.0696,Low
1322,0.0432,Low
1324,0.1075,Low
1329,0.2555,Medium
1331,0.9499,High
1333,0.2355,Low
1334,0.0188,Low
1336,0.0453,Low
1338,0.0277,Low
1340,0.0115,Low
1344,0.0031,Low
1346,0.0057,Low
1349,0.0148,Low
1350,0.1294,Low
1352,0.0356,Low
1355,0.009,Low
1356,0.0656,Low
1358,0.1104,Low
1360,0.8987,High
1361,0.007,Low
1362,0.0229,Low
1363,0.0101,Low
1364,0.0754,Low
1367,0.0114,Low
1368,0.1609,Low
1369,0.0067,Low
1371,0.1071,Low
1372,0.9775,High
1373,0.0615,Low
1374,0.0559,Low
1375,0.0029,Low
1377,0.111,Low
1379,0.9202,High
1380,0.9111,High
1382,0.0104,Low
1383,0.0057,Low
1387,0.0949,Low
1389,0.0812,Low
1390,0.1072,Low
1391,0.5158,High
1392,0.028,Low
1394,0.0601,Low
1395,0.1138,Low
1396,0.2857,Medium
1397,0.0024,Low
1399,0.09,Low
1401,0.0587,Low
1402,0.0864,Low
1403,0.0733,Low
1405,0.9352,High
1407,0.0252,Low
1408,0.0044,Low
1409,0.2662,Medium
1411,0.1071,Low
1412,0.0825,Low
1415,0.1169,Low
1417,0.0573,Low
1419,0.1281,Low
1420,0.9414,High
1421,0.9556,High
1422,0.0128,Low
1423,0.0024,Low
1424,0.0006,Low
1425,0.1206,Low
1427,0.9958,High
1428,0.0625,Low
1430,0.0793,Low
1431,0.043,Low
1433,0.9548,High
1434,0.0698,Low
1435,0.113,Low
1436,0.0197,Low
1438,0.0181,Low
1439,0.4141,Medium
1440,0.1093,Low
1441,0.043,Low
1443,0.0071,Low
1445,0.1105,Low
1446,0.0294,Low
1447,0.0391,Low
1448,0.5174,High
1449,0.0145,Low
1453,0.1785,Low
1457,0.9018,High
1458,0.977,High
1459,0.9134,High
1460,0.0174,Low
1461,0.0715,Low
1464,0.9706,High
1465,0.0625,Low
1466,0.036,Low
1467,0.8826,High
1468,0.0043,Low
1469,0.0496,Low
1471,0.008,Low
1472,0.0349,Low
1473,0.016,Low
1474,0.0112,Low
1475,0.0478,Low
1477,0.1143,Low
1478,0.2297,Low
1479,0.0196,Low
1480,0.0524,Low
1481,0.2296,Low
1482,0.0264,Low
1483,0.0089,Low
1484,0.0037,Low
1485,0.0354,Low
1486,0.9226,High
1487,0.9876,High
1489,0.9506,High
1492,0.1929,Low
1494,0.9964,High
1495,0.5205,High
1496,0.285,Medium
1497,0.0129,Low
1499,0.0286,Low
1501,0.0327,Low
1502,0.1772,Low
1503,0.0522,Low
1504,0.9832,High
1506,0.1123,Low
1507,0.0953,Low
1509,0.0251,Low
1513,0.0412,Low
1514,0.0073,Low
1515,0.2533,Medium
1516,0.0295,Low
1520,0.0026,Low
1522,0.9562,High
1523,0.0157,Low
1525,0.0261,Low
1527,0.0446,Low
1529,0.0613,Low
1533,0.037,Low
1534,0.9376,High
1535,0.0915,Low
1537,0.9379,High
1539,0.0968,Low
1541,0.0601,Low
1542,0.0375,Low
1543,0.2422,Low
1544,0.0184,Low
1545,0.0583,Low
1546,0.01,Low
1547,0.0442,Low
1548,0.0547,Low
1549,0.1031,Low
1550,0.0552,Low
1551,0.4936,High
1552,0.0068,Low
1553,0.0532,Low
1554,0.0262,Low
1555,0.0318,Low
1556,0.1475,Low
1557,0.0362,Low
1558,0.2483,Low
1560,0.0768,Low
1562,0.0323,Low
1563,0.0871,Low
1564,0.0382,Low
1568,0.0818,Low
1569,0.9746,High
1572,0.0051,Low
1573,0.7272,High
1574,0.0028,Low
1576,0.0669,Low
1577,0.1775,Low
1578,0.0233,Low
1580,0.0044,Low
1581,0.5165,High
1582,0.0159,Low
1583,0.0461,Low
1585,0.0901,Low
1586,0.1183,Low
1587,0.0983,Low
1588,0.0911,Low
1590,0.0085,Low
1591,0.1475,Low
1592,0.0189,Low
1594,0.0686,Low
1595,0.0082,Low
1596,0.0831,Low
1597,0.0339,Low
1598,0.0108,Low
1599,0.0424,Low
1601,0.024,Low
1602,0.0674,Low
1604,0.9816,High
1605,0.1851,Low
1606,0.0236,Low
1607,0.0074,Low
1608,0.0017,Low
1609,0.0664,Low
1611,0.1051,Low
1612,0.1284,Low
1613,0.3411,Medium
1614,0.0998,Low
1615,0.1008,Low
1617,0.0643,Low
1618,0.0041,Low
1619,0.2468,Low
1621,0.0204,Low
1622,0.1464,Low
1623,0.011,Low
1624,0.9939,High
1625,0.0053,Low
1627,0.0052,Low
1628,0.0143,Low
1630,0.001,Low
1631,0.0443,Low
1633,0.0672,Low
1635,0.0189,Low
1638,0.0236,Low
1639,0.9245,High
1640,0.0896,Low
1641,0.2699,Medium
1642,0.1564,Low
1644,0.0022,Low
1645,0.9682,High
1646,0.5738,High
1647,0.2693,Medium
1648,0.0476,Low
1649,0.9487,High
1650,0.3102,Medium
1651,0.0082,Low
1653,0.005,Low
1654,0.1973,Low
1655,0.0072,Low
1656,0.0422,Low
1657,0.2272,Low
1658,0.0026,Low
1659,0.1807,Low
1661,0.0073,Low
1662,0.0021,Low
1664,0.0154,Low
1665,0.0042,Low
1666,0.011,Low
1667,0.5797,High
1668,0.0027,Low
1669,0.1513,Low
1670,0.0075,Low
1671,0.0027,Low
1673,0.0561,Low
1674,0.145,Low
1675,0.1481,Low
1676,0.017,Low
1677,0.025,Low
1678,0.2196,Low
1680,0.301,Medium
1681,0.1808,Low
1682,0.0629,Low
1683,0.0396,Low
1684,0.917,High
1687,0.0153,Low
1689,0.0368,Low
1691,0.1847,Low
1692,0.9381,High
1693,0.0247,Low
1694,0.1216,Low
1696,0.0154,Low
1697,0.002,Low
1698,0.0509,Low
1700,0.0387,Low
1701,0.0199,Low
1702,0.4196,Medium
1703,0.0047,Low
1704,0.1151,Low
1706,0.0915,Low
1707,0.0066,Low
1708,0.1,Low
1709,0.0888,Low
1710,0.2203,Low
1712,0.0007,Low
1714,0.9734,High
1716,0.969,High
1718,0.1479,Low
1719,0.0176,Low
1720,0.4172,Medium
1721,0.0672,Low
1722,0.0127,Low
1724,0.2308,Low
1725,0.0615,Low
1727,0.0618,Low
1728,0.0106,Low
1729,0.0141,Low
1731,0.0527,Low
1732,0.0436,Low
1733,0.2867,Medium
1734,0.9732,High
1735,0.368,Medium
1736,0.0573,Low
1737,0.0106,Low
1739,0.0812,Low
1740,0.0287,Low
1744,0.0059,Low
1745,0.0187,Low
1746,0.0886,Low
1747,0.9307,High
1749,0.0457,Low
1751,0.0367,Low
1752,0.9607,High
1753,0.3226,Medium
1754,0.0656,Low
1755,0.0018,Low
1756,0.2952,Medium
1757,0.0321,Low
1758,0.9743,High
1760,0.065,Low
1761,0.9222,High
1762,0.1999,Low
1763,0.0139,Low
1764,0.0126,Low
1766,0.1379,Low
1767,0.9496,High
1768,0.0764,Low
1770,0.0222,Low
1771,0.0121,Low
1772,0.0143,Low
1774,0.0046,Low
1775,0.0414,Low
1778,0.0039,Low
1779,0.127,Low
1780,0.9205,High
1782,0.0227,Low
1783,0.9501,High
1784,0.069,Low
1786,0.0296,Low
1787,0.1307,Low
1789,0.038,Low
1790,0.0525,Low
1792,0.9481,High
1794,0.0394,Low
1797,0.9074,High
1798,0.0341,Low
1799,0.0048,Low
1800,0.0301,Low
1801,0.1409,Low
1802,0.0175,Low
1803,0.0309,Low
1804,0.0014,Low
1805,0.0189,Low
1807,0.0253,Low
1809,0.8813,High
1812,0.0539,Low
1813,0.0934,Low
1814,0.1479,Low
1815,0.0348,Low
1816,0.1011,Low
1818,0.3709,Medium
1821,0.8681,High
1822,0.0013,Low
1823,0.0173,Low
1824,0.0301,Low
1826,0.0972,Low
1827,0.0329,Low
1829,0.0257,Low
1830,0.0183,Low
1833,0.0748,Low
1834,0.0035,Low
1835,0.0243,Low
1836,0.1377,Low
1837,0.0395,Low
1839,0.7171,High
1842,0.9172,High
1844,0.9814,High
1845,0.0222,Low
1847,0.0122,Low
1849,0.0343,Low
1850,0.103,Low
1852,0.0609,Low
1853,0.1796,Low
1854,0.0125,Low
1856,0.1701,Low
1857,0.0345,Low
1858,0.0046,Low
1859,0.0113,Low
1860,0.1123,Low
1862,0.9712,High
1863,0.0164,Low
1864,0.2093,Low
1865,0.508,High
1866,0.0143,Low
1867,0.0097,Low
1868,0.9836,High
1869,0.8049,High
1870,0.0045,Low
1871,0.0148,Low
1873,0.0091,Low
1875,0.0961,Low
1876,0.9553,High
1878,0.9767,High
1880,0.1057,Low
1881,0.0587,Low
1882,0.1346,Low
1883,0.2347,Low
1885,0.0493,Low
1886,0.1089,Low
1888,0.0066,Low
1890,0.0067,Low
1892,0.0258,Low
1893,0.0951,Low
1898,0.0299,Low
1900,0.0136,Low
1903,0.001,Low
1905,0.9607,High
1907,0.8937,High
1908,0.2831,Medium
1909,0.0552,Low
1911,0.0116,Low
1912,0.0467,Low
1915,0.1426,Low
1916,0.1579,Low
1918,0.1821,Low
