employee_number,department,job_role,over_time,tenure_band,salary_band,monthly_income,annual_salary,attrition_probability,risk_tier,flagged
1675,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2440,29280,0.1481,Low,No
899,Research & Development,Manufacturing Director,No,10+ yrs,Very High,10903,130836,0.1479,Low,No
1718,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2305,27660,0.1479,Low,No
1814,Research & Development,Healthcare Representative,No,2-5 yrs,High,6870,82440,0.1479,Low,No
1556,Sales,Sales Representative,Yes,2-5 yrs,Low,2644,31728,0.1475,Low,No
1591,Sales,Manager,Yes,0-2 yrs,Very High,19331,231972,0.1475,Low,No
1622,Research & Development,Manufacturing Director,No,5-10 yrs,Mid,4877,58524,0.1464,Low,No
1674,Research & Development,Laboratory Technician,Yes,2-5 yrs,Low,2587,31044,0.145,Low,No
10,Research & Development,Laboratory Technician,Yes,0-2 yrs,Low,2670,32040,0.1428,Low,No
1915,Sales,Sales Executive,Yes,2-5 yrs,High,8103,97236,0.1426,Low,No
103,Human Resources,Human Resources,Yes,2-5 yrs,Mid,5021,60252,0.1426,Low,No
956,Sales,Sales Executive,No,5-10 yrs,Mid,4294,51528,0.1418,Low,No
738,Sales,Sales Representative,No,2-5 yrs,Mid,3875,46500,0.1413,Low,No
1801,Sales,Sales Executive,No,2-5 yrs,High,7991,95892,0.1409,Low,No
403,Research & Development,Research Scientist,Yes,2-5 yrs,Low,2326,27912,0.1408,Low,No
1138,Sales,Sales Executive,No,5-10 yrs,Very High,13120,157440,0.1405,Low,No
941,Sales,Sales Representative,No,5-10 yrs,Low,2329,27948,0.1403,Low,No
715,Research & Development,Research Scientist,No,0-2 yrs,Mid,4680,56160,0.1395,Low,No
1766,Research & Development,Healthcare Representative,Yes,0-2 yrs,High,5811,69732,0.1379,Low,No
155,Research & Development,Laboratory Technician,No,0-2 yrs,Low,2835,34020,0.1378,Low,No
467,Sales,Sales Representative,No,0-2 yrs,Low,2976,35712,0.1378,Low,No
1836,Sales,Sales Executive,No,5-10 yrs,Mid,4684,56208,0.1377,Low,No
1046,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,4025,48300,0.1362,Low,No
704,Research & Development,Laboratory Technician,No,0-2 yrs,Low,1281,15372,0.1352,Low,No
1118,Research & Development,Healthcare Representative,No,5-10 yrs,Very High,10445,125340,0.135,Low,No
1935,Sales,Sales Executive,No,0-2 yrs,High,5380,64560,0.1346,Low,No
363,Sales,Manager,Yes,5-10 yrs,Very High,16872,202464,0.1346,Low,No
1882,Sales,Sales Executive,Yes,5-10 yrs,Very High,9713,116556,0.1346,Low,No
556,Research & Development,Laboratory Technician,Yes,0-2 yrs,Low,1702,20424,0.1338,Low,No
669,Sales,Sales Representative,No,2-5 yrs,Mid,3447,41364,0.1334,Low,No
1211,Sales,Sales Executive,No,2-5 yrs,Mid,4115,49380,0.1326,Low,No
1251,Research & Development,Healthcare Representative,Yes,5-10 yrs,High,6833,81996,0.1312,Low,No
1032,Research & Development,Manufacturing Director,Yes,5-10 yrs,Very High,13726,164712,0.1309,Low,No
274,Research & Development,Manufacturing Director,No,2-5 yrs,Mid,4298,51576,0.1308,Low,No
1787,Sales,Sales Executive,No,5-10 yrs,Mid,4189,50268,0.1307,Low,No
592,Sales,Sales Executive,No,10+ yrs,Very High,9980,119760,0.1304,Low,No
1102,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2207,26484,0.1303,Low,No
321,Human Resources,Human Resources,No,2-5 yrs,Low,2267,27204,0.1303,Low,No
793,Research & Development,Healthcare Representative,No,5-10 yrs,Mid,4335,52020,0.1301,Low,No
330,Sales,Sales Representative,No,2-5 yrs,Mid,3931,47172,0.13,Low,No
1350,Research & Development,Research Scientist,Yes,5-10 yrs,Mid,4249,50988,0.1294,Low,No
125,Sales,Sales Executive,No,10+ yrs,Mid,5010,60120,0.1288,Low,No
1612,Sales,Sales Executive,No,10+ yrs,Mid,4385,52620,0.1284,Low,No
1419,Human Resources,Human Resources,No,10+ yrs,High,7988,95856,0.1281,Low,No
1275,Research & Development,Research Scientist,Yes,5-10 yrs,Low,2875,34500,0.1278,Low,No
1949,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2810,33720,0.1277,Low,No
1779,Sales,Sales Executive,No,2-5 yrs,High,6029,72348,0.127,Low,No
388,Sales,Sales Executive,No,10+ yrs,Mid,4554,54648,0.1238,Low,No
1694,Research & Development,Research Scientist,No,2-5 yrs,Mid,3537,42444,0.1216,Low,No
895,Research & Development,Research Scientist,Yes,5-10 yrs,Low,2356,28272,0.1211,Low,No
1425,Sales,Sales Executive,Yes,5-10 yrs,Very High,9278,111336,0.1206,Low,No
359,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2794,33528,0.1203,Low,No
1298,Research & Development,Manufacturing Director,Yes,5-10 yrs,Mid,4695,56340,0.1202,Low,No
998,Research & Development,Healthcare Representative,Yes,5-10 yrs,High,5488,65856,0.1192,Low,No
1242,Research & Development,Research Director,Yes,0-2 yrs,Very High,13191,158292,0.1189,Low,No
508,Sales,Sales Representative,No,0-2 yrs,Low,2476,29712,0.1188,Low,No
216,Sales,Sales Representative,No,2-5 yrs,Low,2231,26772,0.1188,Low,No
632,Sales,Sales Representative,No,2-5 yrs,Low,2400,28800,0.1186,Low,No
81,Sales,Sales Executive,No,10+ yrs,High,7637,91644,0.1185,Low,No
1586,Research & Development,Laboratory Technician,Yes,10+ yrs,Mid,4723,56676,0.1183,Low,No
680,Research & Development,Research Scientist,No,0-2 yrs,Low,2083,24996,0.1183,Low,No
496,Research & Development,Healthcare Representative,No,0-2 yrs,High,6540,78480,0.1178,Low,No
733,Research & Development,Manufacturing Director,No,5-10 yrs,High,8793,105516,0.1173,Low,No
1415,Research & Development,Laboratory Technician,No,2-5 yrs,Mid,3229,38748,0.1169,Low,No
781,Sales,Sales Executive,No,5-10 yrs,High,6180,74160,0.1163,Low,No
177,Human Resources,Human Resources,No,5-10 yrs,Low,2942,35304,0.116,Low,No
1704,Research & Development,Research Scientist,Yes,5-10 yrs,Mid,4930,59160,0.1151,Low,No
616,Research & Development,Healthcare Representative,Yes,5-10 yrs,High,6811,81732,0.1148,Low,No
78,Research & Development,Manufacturing Director,Yes,5-10 yrs,High,6162,73944,0.1144,Low,No
1477,Sales,Sales Executive,No,2-5 yrs,Mid,4373,52476,0.1143,Low,No
783,Sales,Sales Representative,No,5-10 yrs,High,6632,79584,0.1143,Low,No
1395,Sales,Sales Executive,No,5-10 yrs,Very High,9998,119976,0.1138,Low,No
442,Research & Development,Manufacturing Director,No,10+ yrs,Very High,8943,107316,0.1133,Low,No
1435,Research & Development,Laboratory Technician,No,10+ yrs,High,5810,69720,0.113,Low,No
95,Research & Development,Research Scientist,No,0-2 yrs,Low,2501,30012,0.113,Low,No
1506,Research & Development,Research Scientist,No,0-2 yrs,Low,1563,18756,0.1123,Low,No
1860,Research & Development,Laboratory Technician,No,0-2 yrs,Mid,3968,47616,0.1123,Low,No
982,Sales,Sales Executive,No,5-10 yrs,High,7264,87168,0.1119,Low,No
1377,Research & Development,Laboratory Technician,No,5-10 yrs,High,5429,65148,0.111,Low,No
1445,Sales,Sales Executive,Yes,5-10 yrs,Mid,4162,49944,0.1105,Low,No
920,Research & Development,Manufacturing Director,No,0-2 yrs,Mid,4765,57180,0.1105,Low,No
1358,Research & Development,Laboratory Technician,No,2-5 yrs,Mid,3669,44028,0.1104,Low,No
382,Sales,Sales Executive,Yes,5-10 yrs,High,5605,67260,0.11,Low,No
448,Research & Development,Laboratory Technician,No,5-10 yrs,High,5257,63084,0.1095,Low,No
1440,Research & Development,Laboratory Technician,No,5-10 yrs,Mid,3500,42000,0.1093,Low,No
903,Sales,Sales Executive,Yes,5-10 yrs,Mid,4537,54444,0.1091,Low,No
1886,Research & Development,Manufacturing Director,Yes,2-5 yrs,Mid,4788,57456,0.1089,Low,No
578,Research & Development,Laboratory Technician,No,0-2 yrs,Mid,3780,45360,0.1089,Low,No
1965,Sales,Sales Executive,No,5-10 yrs,Mid,4105,49260,0.1087,Low,No
728,Sales,Sales Executive,No,5-10 yrs,Mid,4960,59520,0.1086,Low,No
547,Research & Development,Research Scientist,No,5-10 yrs,Mid,4556,54672,0.1084,Low,No
1233,Sales,Sales Executive,Yes,10+ yrs,High,5220,62640,0.1082,Low,No
1324,Sales,Sales Executive,Yes,10+ yrs,Very High,9852,118224,0.1075,Low,No
412,Research & Development,Healthcare Representative,No,5-10 yrs,High,5661,67932,0.1075,Low,No
1390,Sales,Sales Executive,Yes,5-10 yrs,High,6120,73440,0.1072,Low,No
53,Research & Development,Laboratory Technician,No,0-2 yrs,Low,1951,23412,0.1072,Low,No
1371,Sales,Sales Executive,No,5-10 yrs,Mid,5071,60852,0.1071,Low,No
1411,Research & Development,Laboratory Technician,No,2-5 yrs,Mid,3629,43548,0.1071,Low,No
705,Research & Development,Research Scientist,No,2-5 yrs,Low,2819,33828,0.1066,Low,No
1880,Sales,Sales Executive,Yes,10+ yrs,High,5673,68076,0.1057,Low,No
597,Sales,Manager,No,10+ yrs,Very High,16835,202020,0.1056,Low,No
1066,Sales,Sales Executive,No,5-10 yrs,High,8396,100752,0.1056,Low,No
1611,Research & Development,Laboratory Technician,Yes,10+ yrs,High,5769,69228,0.1051,Low,No
879,Sales,Sales Executive,Yes,5-10 yrs,Mid,4194,50328,0.1046,Low,No
729,Sales,Sales Executive,Yes,10+ yrs,Very High,10475,125700,0.1037,Low,No
1927,Sales,Sales Executive,Yes,5-10 yrs,High,6834,82008,0.1036,Low,No
1549,Research & Development,Laboratory Technician,Yes,10+ yrs,High,5207,62484,0.1031,Low,No
1850,Research & Development,Laboratory Technician,Yes,5-10 yrs,Low,2379,28548,0.103,Low,No
2045,Sales,Sales Executive,No,5-10 yrs,High,6652,79824,0.1025,Low,No
897,Sales,Sales Executive,No,2-5 yrs,Very High,11836,142032,0.1023,Low,No
1019,Research & Development,Laboratory Technician,No,2-5 yrs,Low,2451,29412,0.1019,Low,No
286,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2153,25836,0.1017,Low,No
2009,Research & Development,Healthcare Representative,Yes,5-10 yrs,Mid,4878,58536,0.1017,Low,No
57,Research & Development,Laboratory Technician,No,10+ yrs,Mid,4011,48132,0.1012,Low,No
1816,Research & Development,Manufacturing Director,No,5-10 yrs,Very High,9667,116004,0.1011,Low,No
939,Research & Development,Research Scientist,Yes,2-5 yrs,Low,2799,33588,0.1009,Low,No
605,Research & Development,Manufacturing Director,Yes,10+ yrs,High,7406,88872,0.1008,Low,No
1615,Research & Development,Manufacturing Director,No,5-10 yrs,Mid,4724,56688,0.1008,Low,No
1164,Human Resources,Human Resources,No,5-10 yrs,Mid,4323,51876,0.1003,Low,No
204,Sales,Sales Executive,No,10+ yrs,High,7295,87540,0.1001,Low,No
1708,Sales,Sales Executive,No,10+ yrs,Very High,9241,110892,0.1,Low,No
240,Sales,Sales Executive,Yes,5-10 yrs,Mid,5006,60072,0.1,Low,No
1614,Research & Development,Manufacturing Director,Yes,2-5 yrs,Mid,4663,55956,0.0998,Low,No
878,Human Resources,Human Resources,No,5-10 yrs,Low,2342,28104,0.0995,Low,No
362,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2176,26112,0.0988,Low,No
1587,Research & Development,Healthcare Representative,Yes,5-10 yrs,High,6142,73704,0.0983,Low,No
641,Sales,Sales Executive,No,5-10 yrs,High,6272,75264,0.0978,Low,No
1826,Research & Development,Laboratory Technician,No,5-10 yrs,Low,2705,32460,0.0972,Low,No
662,Research & Development,Research Scientist,No,0-2 yrs,Low,2619,31428,0.0972,Low,No
789,Sales,Sales Executive,No,10+ yrs,High,7587,91044,0.0969,Low,No
273,Research & Development,Manufacturing Director,No,5-10 yrs,High,6261,75132,0.0968,Low,No
1218,Sales,Sales Executive,Yes,5-10 yrs,Very High,8966,107592,0.0968,Low,No
1539,Research & Development,Research Director,Yes,10+ yrs,Very High,14411,172932,0.0968,Low,No
1875,Sales,Sales Representative,No,0-2 yrs,Low,2856,34272,0.0961,Low,No
1105,Sales,Sales Executive,Yes,0-2 yrs,High,6694,80328,0.0959,Low,No
